Thời gian,positive,neutral,negative,số_bài_báo
2020-01-20,0.7631,0.2082,0.0286,1
2020-02-10,0.2543,0.741,0.0047,1
2020-02-11,0.4228,0.2482,0.329,1
2020-02-17,0.785,0.2126,0.0024,1
2020-02-22,0.7802,0.2186,0.0013,1
2020-02-25,0.3422,0.5386,0.1192,1
2020-03-07,0.4661,0.3816,0.1523,2
2020-03-24,0.9677,0.0317,0.0006,1
2020-04-02,0.4724,0.5235,0.0041,1
2020-04-05,0.7371,0.2559,0.007,1
2020-04-06,0.2844,0.6313,0.0843,1
2020-04-11,0.8839,0.1087,0.0074,1
2020-04-13,0.486,0.5073,0.0067,1
2020-04-15,0.5059,0.4787,0.0154,1
2020-04-22,0.4259,0.3212,0.2529,1
2020-05-05,0.1607,0.814,0.0253,1
2020-05-08,0.5734,0.2432,0.1834,1
2020-06-25,0.0115,0.9879,0.0006,1
2020-07-03,0.2692,0.6778,0.053,1
2020-07-07,0.0015,0.9981,0.0005,1
2020-07-10,0.4774,0.481,0.0417,1
2020-07-13,0.0429,0.9214,0.0357,1
2020-07-21,0.275,0.3548,0.3702,1
2020-07-30,0.4866,0.3593,0.1541,1
2020-08-06,0.1972,0.4782,0.3246,1
2020-09-04,0.5537,0.3869,0.0594,1
2020-10-22,0.2932,0.5557,0.1511,1
2020-11-17,0.4327,0.5662,0.001,1
2020-12-20,0.8118,0.1843,0.0039,1
2021-01-10,0.5588,0.4359,0.0054,1
2021-01-17,0.3427,0.4371,0.2202,1
2021-01-23,0.4744,0.4433,0.0822,1
2021-02-14,0.5098,0.3672,0.1229,1
2021-02-16,0.4024,0.4842,0.1134,1
2021-02-17,0.6601,0.2867,0.0532,1
2021-03-04,0.3568,0.6015,0.0417,1
2021-03-17,0.3107,0.688,0.0013,1
2021-04-08,0.8087,0.1194,0.0718,1
2021-04-16,0.5081,0.4891,0.0028,1
2021-05-11,0.6173,0.2048,0.1779,1
2021-06-10,0.1236,0.8736,0.0028,1
2021-06-16,0.1583,0.8396,0.0021,1
2021-06-17,0.0054,0.9939,0.0007,1
2021-06-28,0.0275,0.9683,0.0042,1
2021-07-09,0.6975,0.2433,0.0593,1
2021-07-22,0.8107,0.0656,0.1237,1
2021-08-07,0.1259,0.6769,0.1973,1
2021-08-10,0.3043,0.2836,0.4121,1
2021-09-17,0.2368,0.5802,0.183,1
2021-09-23,0.8206,0.1787,0.0006,1
2021-09-25,0.3318,0.6647,0.0034,1
2021-09-26,0.2614,0.7257,0.0129,1
2021-10-25,0.8103,0.1883,0.0014,1
2021-12-05,0.5212,0.4705,0.0083,1
2021-12-11,0.9378,0.0613,0.0009,1
2021-12-13,0.6347,0.3604,0.0049,1
2021-12-18,0.81,0.1855,0.0046,1
2021-12-19,0.1868,0.8128,0.0004,1
2022-01-11,0.7726,0.2177,0.0097,1
2022-01-22,0.5261,0.3379,0.136,1
2022-04-10,0.7073,0.2851,0.0077,1
2022-04-29,0.5366,0.4479,0.0154,1
2022-05-06,0.4594,0.537,0.0036,1
2022-05-12,0.2264,0.7448,0.0287,1
2022-06-05,0.6871,0.3082,0.0047,1
2022-06-12,0.6403,0.0995,0.2602,1
2022-06-17,0.1651,0.3104,0.5245,1
2022-06-19,0.4166,0.4549,0.1285,2
2022-07-29,0.5163,0.478,0.0058,1
2022-08-17,0.6083,0.386,0.0058,1
2022-09-05,0.9244,0.0655,0.0101,1
2022-09-09,0.3486,0.5996,0.0518,1
2022-10-06,0.0326,0.5839,0.3834,1
2022-10-16,0.1169,0.6025,0.2806,1
2022-11-01,0.2739,0.6732,0.053,1
2022-11-08,0.0529,0.9404,0.0067,1
2022-11-11,0.498,0.4983,0.0036,1
2022-12-23,0.997,0.0025,0.0005,1
2022-12-26,0.5182,0.4326,0.0492,1
2022-12-27,0.4125,0.3897,0.1977,1
2023-01-02,0.317,0.5406,0.1424,1
2023-01-08,0.8348,0.1612,0.004,1
2023-02-24,0.2047,0.6085,0.1868,1
2023-03-18,0.0159,0.7034,0.2807,1
2023-03-21,0.1648,0.7837,0.0515,1
2023-03-31,0.1783,0.8186,0.0031,1
2023-05-19,0.5052,0.4933,0.0015,1
2023-06-02,0.2585,0.4325,0.309,1
2023-07-05,0.3756,0.4558,0.1686,1
2023-07-07,0.8195,0.1761,0.0044,1
2023-07-24,0.3122,0.6837,0.0041,1
2023-07-30,0.6344,0.3192,0.0464,1
2023-09-07,0.6836,0.2677,0.0487,1
2023-09-10,0.1024,0.885,0.0126,1
2023-09-28,0.6195,0.3791,0.0014,1
2023-10-31,0.3968,0.5995,0.0037,1
2023-11-16,0.6616,0.3337,0.0047,1
2023-11-22,0.5466,0.4003,0.0531,1
2023-12-09,0.089,0.9073,0.0037,1
2024-01-02,0.8097,0.1153,0.075,1
2024-01-11,0.7592,0.2329,0.0079,2
2024-02-05,0.9046,0.0436,0.0519,1
2024-05-03,0.8898,0.0233,0.0868,1
2024-05-22,0.5964,0.4026,0.0011,1
2024-05-29,0.1278,0.7303,0.1418,1
2024-06-03,0.98,0.0195,0.0004,1
2024-06-19,0.1792,0.7921,0.0287,1
2024-07-01,0.4854,0.5071,0.0075,1
2024-07-15,0.4104,0.5674,0.0222,1
2024-07-31,0.7344,0.26,0.0055,1
2024-08-15,0.9184,0.0794,0.0022,1
2024-10-31,0.6556,0.1697,0.1746,1
2025-01-22,0.6205,0.3406,0.0389,1
2025-01-31,0.5643,0.2372,0.1985,1
2025-02-07,0.8405,0.1588,0.0007,1
2025-02-10,0.0597,0.1313,0.809,2
2025-03-09,0.0631,0.2203,0.7166,1
2025-04-13,0.664,0.334,0.002,1
2025-04-14,0.9237,0.0747,0.0016,1
2025-05-10,0.854,0.1451,0.0009,1
2025-05-31,0.3926,0.6042,0.0031,1
2025-06-09,0.8889,0.0611,0.05,1
2025-06-13,0.641,0.3577,0.0013,1
2025-06-16,0.6511,0.3477,0.0012,1
2025-06-23,0.7302,0.2086,0.0612,2
2025-07-06,0.4985,0.5008,0.0007,1
2025-07-10,0.0869,0.9079,0.0051,2
2025-08-01,0.75,0.0852,0.1648,1
2025-08-19,0.0037,0.0013,0.995,1
2025-08-22,0.0876,0.4256,0.4869,2
2025-09-02,0.6361,0.2229,0.141,1
2025-09-09,0.0008,0.9969,0.0023,1
2025-09-15,0.0011,0.9413,0.0576,1
2025-09-22,0.2127,0.7865,0.0008,1
2025-09-29,0.0004,0.9982,0.0014,1
2025-09-30,0.049,0.9504,0.0006,1
2025-10-15,0.0028,0.9958,0.0013,1
2025-11-05,0.7382,0.2614,0.0004,1
2025-11-09,0.0041,0.5574,0.4384,1
